Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2016-01-11,1,Breaking: Banking sector plunges on weak earnings,Breaking: Energy sector inflation accelerates,Breaking: Energy sector plunges on weak earnings,Breaking: Retail sector misses revenue targets,Breaking: Banking sector plunges on weak earnings,Breaking: Energy sector consumer spending slows,News: SEC to announce results,Breaking: Retail sector downgrades guidance,Breaking: Banking sector plunges on weak earnings,Breaking: Energy sector sell-off accelerates,Breaking: Tech sector downgrades guidance,Breaking: Retail sector misses revenue targets,Breaking: Banking sector sell-off accelerates,Breaking: Energy sector faces regulatory probe,News: ECB trading volume light,Breaking: Energy sector faces regulatory probe,News: SEC keeps rates unchanged,Breaking: Energy sector fed hawkish on rates,News: ECB keeps rates unchanged,Breaking: Retail sector jobless claims rise,News: SEC keeps rates unchanged,Breaking: Banking sector misses revenue targets,Breaking: Retail sector plunges on weak earnings,News: Treasury sector rotation observed,Breaking: Energy sector misses revenue targets
2016-01-12,1,News: SEC to announce results,News: ECB to announce results,News: SEC to announce results,News: Treasury to announce results,News: Treasury markets await data,News: ECB to announce results,News: ECB keeps rates unchanged,News: ECB markets await data,News: Treasury keeps rates unchanged,News: Fed keeps rates unchanged,News: Fed releases meeting minutes,News: Treasury trading volume light,News: ECB releases meeting minutes,News: Fed releases meeting minutes,News: Fed trading volume light,News: Fed releases meeting minutes,News: Treasury keeps rates unchanged,News: Fed keeps rates unchanged,News: Treasury to announce results,News: ECB trading volume light,News: SEC to announce results,News: SEC markets await data,News: ECB sector rotation observed,News: SEC releases meeting minutes,News: Fed to announce results
2016-01-13,0,Breaking: Energy sector inflation accelerates,Breaking: Banking sector sell-off accelerates,Breaking: Energy sector plunges on weak earnings,News: SEC keeps rates unchanged,Breaking: Banking sector plunges on weak earnings,Breaking: Energy sector misses revenue targets,News: Fed to announce results,Breaking: Tech sector misses revenue targets,Breaking: Tech sector consumer spending slows,Breaking: Energy sector downgrades guidance,News: SEC keeps rates unchanged,News: ECB trading volume light,Breaking: Tech sector consumer spending slows,News: SEC trading volume light,News: ECB markets await data,Breaking: Energy sector fed hawkish on rates,Breaking: Retail sector fed hawkish on rates,News: Fed sector rotation observed,News: ECB trading volume light,Breaking: Banking sector downgrades guidance,Breaking: Energy sector downgrades guidance,News: ECB to announce results,News: Fed keeps rates unchanged,Breaking: Energy sector fed hawkish on rates,Breaking: Energy sector fed hawkish on rates
2016-01-14,1,Market Update: Banking stock upgrades outlook,Market Update: Banking stock fed signals rate cuts,Market Update: Banking stock upgrades outlook,Market Update: Banking stock upgrades outlook,Market Update: Banking stock inflation data comes in lower,Market Update: Tech stock fed signals rate cuts,News: ECB to announce results,Market Update: Energy stock upgrades outlook,News: ECB sector rotation observed,Market Update: Tech stock fed signals rate cuts,News: ECB to announce results,Market Update: Banking stock consumer confidence spikes,Market Update: Retail stock consumer confidence spikes,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Tech stock upgrades outlook,News: Fed releases meeting minutes,Market Update: Energy stock inflation data comes in lower,Market Update: Tech stock unemployment falls unexpectedly,Market Update: Energy stock beats earnings estimates,Market Update: Retail stock consumer confidence spikes,Market Update: Retail stock consumer confidence spikes,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Retail stock unemployment falls unexpectedly,News: Fed markets await data,News: SEC markets await data
2016-01-15,0,News: ECB sector rotation observed,Breaking: Energy sector jobless claims rise,Breaking: Tech sector jobless claims rise,News: SEC sector rotation observed,Breaking: Tech sector consumer spending slows,Breaking: Banking sector fed hawkish on rates,Breaking: Energy sector consumer spending slows,Breaking: Tech sector inflation accelerates,News: Treasury trading volume light,Breaking: Tech sector sell-off accelerates,Breaking: Retail sector jobless claims rise,Breaking: Tech sector misses revenue targets,Breaking: Tech sector misses revenue targets,Breaking: Tech sector jobless claims rise,Breaking: Energy sector jobless claims rise,News: SEC sector rotation observed,Breaking: Retail sector plunges on weak earnings,Breaking: Energy sector jobless claims rise,Breaking: Retail sector consumer spending slows,Breaking: Retail sector inflation accelerates,News: SEC keeps rates unchanged,Breaking: Retail sector faces regulatory probe,Breaking: Banking sector plunges on weak earnings,Breaking: Tech sector plunges on weak earnings,Breaking: Banking sector plunges on weak earnings
2016-01-16,1,Market Update: Tech stock upgrades outlook,News: SEC trading volume light,Market Update: Tech stock secures major contract,News: SEC sector rotation observed,News: SEC releases meeting minutes,Market Update: Retail stock inflation data comes in lower,Market Update: Banking stock secures major contract,Market Update: Retail stock beats earnings estimates,Market Update: Retail stock tech sector leads rally,Market Update: Tech stock beats earnings estimates,Market Update: Banking stock tech sector leads rally,Market Update: Banking stock secures major contract,Market Update: Energy stock secures major contract,Market Update: Energy stock tech sector leads rally,Market Update: Tech stock fed signals rate cuts,Market Update: Energy stock tech sector leads rally,Market Update: Retail stock consumer confidence spikes,News: Treasury sector rotation observed,News: Treasury sector rotation observed,Market Update: Energy stock fed signals rate cuts,Market Update: Tech stock tech sector leads rally,News: Treasury trading volume light,Market Update: Retail stock upgrades outlook,News: Treasury markets await data,Market Update: Banking stock beats earnings estimates
2016-01-17,0,Breaking: Banking sector inflation accelerates,Breaking: Tech sector sell-off accelerates,Breaking: Energy sector misses revenue targets,Breaking: Retail sector faces regulatory probe,Breaking: Banking sector plunges on weak earnings,Breaking: Tech sector fed hawkish on rates,Breaking: Retail sector consumer spending slows,News: Fed sector rotation observed,News: SEC keeps rates unchanged,Breaking: Energy sector plunges on weak earnings,Breaking: Banking sector inflation accelerates,Breaking: Energy sector sell-off accelerates,Breaking: Retail sector fed hawkish on rates,Breaking: Energy sector consumer spending slows,Breaking: Tech sector jobless claims rise,News: Treasury to announce results,Breaking: Banking sector inflation accelerates,News: Treasury releases meeting minutes,Breaking: Energy sector jobless claims rise,News: Fed keeps rates unchanged,Breaking: Retail sector jobless claims rise,Breaking: Retail sector inflation accelerates,News: ECB keeps rates unchanged,Breaking: Banking sector plunges on weak earnings,Breaking: Tech sector consumer spending slows
2016-01-18,1,Market Update: Banking stock secures major contract,Market Update: Energy stock secures major contract,Market Update: Banking stock inflation data comes in lower,News: ECB sector rotation observed,News: Fed markets await data,Market Update: Retail stock secures major contract,Market Update: Tech stock inflation data comes in lower,Market Update: Banking stock surges to record highs,Market Update: Retail stock fed signals rate cuts,Market Update: Banking stock upgrades outlook,Market Update: Banking stock beats earnings estimates,News: Fed keeps rates unchanged,News: Treasury to announce results,Market Update: Tech stock unemployment falls unexpectedly,News: SEC keeps rates unchanged,Market Update: Tech stock fed signals rate cuts,Market Update: Tech stock fed signals rate cuts,Market Update: Tech stock inflation data comes in lower,Market Update: Banking stock inflation data comes in lower,Market Update: Banking stock unemployment falls unexpectedly,News: ECB trading volume light,Market Update: Energy stock fed signals rate cuts,Market Update: Banking stock secures major contract,Market Update: Banking stock secures major contract,News: ECB keeps rates unchanged
2016-01-19,1,News: ECB trading volume light,Market Update: Tech stock surges to record highs,News: Fed to announce results,Market Update: Banking stock secures major contract,Market Update: Retail stock unemployment falls unexpectedly,News: Treasury keeps rates unchanged,Market Update: Retail stock inflation data comes in lower,Market Update: Tech stock surges to record highs,News: Treasury sector rotation observed,Market Update: Energy stock fed signals rate cuts,Market Update: Energy stock unemployment falls unexpectedly,Market Update: Energy stock beats earnings estimates,Market Update: Tech stock secures major contract,News: ECB to announce results,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Retail stock tech sector leads rally,Market Update: Energy stock unemployment falls unexpectedly,News: Treasury markets await data,Market Update: Energy stock beats earnings estimates,Market Update: Energy stock surges to record highs,Market Update: Energy stock secures major contract,News: Treasury markets await data,News: Fed keeps rates unchanged,Market Update: Tech stock tech sector leads rally,Market Update: Retail stock beats earnings estimates
2016-01-20,0,Breaking: Tech sector plunges on weak earnings,Breaking: Retail sector sell-off accelerates,Breaking: Retail sector downgrades guidance,News: Treasury releases meeting minutes,Breaking: Retail sector faces regulatory probe,Breaking: Banking sector misses revenue targets,Breaking: Banking sector jobless claims rise,News: ECB to announce results,Breaking: Tech sector downgrades guidance,News: Fed keeps rates unchanged,Breaking: Energy sector downgrades guidance,Breaking: Tech sector consumer spending slows,Breaking: Energy sector plunges on weak earnings,Breaking: Tech sector inflation accelerates,Breaking: Retail sector sell-off accelerates,Breaking: Retail sector consumer spending slows,Breaking: Energy sector faces regulatory probe,Breaking: Retail sector consumer spending slows,News: Fed trading volume light,Breaking: Tech sector misses revenue targets,News: Fed trading volume light,Breaking: Energy sector downgrades guidance,Breaking: Tech sector consumer spending slows,News: Fed releases meeting minutes,News: SEC markets await data
2016-01-21,1,Market Update: Banking stock secures major contract,Market Update: Tech stock surges to record highs,Market Update: Tech stock unemployment falls unexpectedly,News: ECB markets await data,Market Update: Energy stock consumer confidence spikes,Market Update: Energy stock beats earnings estimates,Market Update: Energy stock tech sector leads rally,Market Update: Banking stock consumer confidence spikes,Market Update: Retail stock fed signals rate cuts,Market Update: Banking stock beats earnings estimates,News: Treasury releases meeting minutes,News: ECB sector rotation observed,News: SEC releases meeting minutes,News: Treasury sector rotation observed,Market Update: Tech stock tech sector leads rally,Market Update: Banking stock upgrades outlook,Market Update: Tech stock tech sector leads rally,News: SEC sector rotation observed,News: SEC trading volume light,Market Update: Banking stock inflation data comes in lower,Market Update: Energy stock consumer confidence spikes,Market Update: Tech stock secures major contract,Market Update: Tech stock consumer confidence spikes,Market Update: Energy stock consumer confidence spikes,Market Update: Banking stock secures major contract
2016-01-22,1,News: Treasury trading volume light,News: SEC markets await data,News: ECB releases meeting minutes,News: ECB keeps rates unchanged,News: Treasury to announce results,News: SEC trading volume light,News: Fed trading volume light,News: SEC to announce results,News: ECB sector rotation observed,News: Treasury keeps rates unchanged,News: ECB markets await data,News: SEC markets await data,News: ECB markets await data,News: Fed trading volume light,News: Treasury sector rotation observed,News: Treasury keeps rates unchanged,News: Fed trading volume light,News: Fed sector rotation observed,News: ECB releases meeting minutes,News: SEC keeps rates unchanged,News: SEC releases meeting minutes,News: SEC keeps rates unchanged,News: SEC to announce results,News: Fed sector rotation observed,News: Fed to announce results
2016-01-23,0,Market Update: Retail stock fed signals rate cuts,Market Update: Energy stock consumer confidence spikes,Market Update: Tech stock tech sector leads rally,News: Fed sector rotation observed,Market Update: Energy stock inflation data comes in lower,Market Update: Tech stock unemployment falls unexpectedly,Market Update: Retail stock secures major contract,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Banking stock consumer confidence spikes,Market Update: Tech stock upgrades outlook,Market Update: Energy stock inflation data comes in lower,News: Treasury releases meeting minutes,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Retail stock consumer confidence spikes,News: ECB markets await data,News: Fed markets await data,Market Update: Retail stock consumer confidence spikes,Market Update: Energy stock consumer confidence spikes,Market Update: Retail stock tech sector leads rally,Market Update: Tech stock upgrades outlook,Market Update: Banking stock beats earnings estimates,News: ECB trading volume light,Market Update: Retail stock secures major contract,Market Update: Banking stock unemployment falls unexpectedly,News: SEC releases meeting minutes
2016-01-24,0,Breaking: Retail sector consumer spending slows,Breaking: Tech sector sell-off accelerates,Breaking: Banking sector downgrades guidance,News: ECB sector rotation observed,Breaking: Tech sector jobless claims rise,Breaking: Tech sector faces regulatory probe,Breaking: Tech sector fed hawkish on rates,Breaking: Energy sector fed hawkish on rates,News: SEC releases meeting minutes,Breaking: Energy sector plunges on weak earnings,News: ECB to announce results,Breaking: Retail sector jobless claims rise,Breaking: Tech sector consumer spending slows,Breaking: Energy sector jobless claims rise,Breaking: Energy sector sell-off accelerates,Breaking: Banking sector plunges on weak earnings,Breaking: Retail sector consumer spending slows,Breaking: Tech sector faces regulatory probe,News: SEC trading volume light,Breaking: Tech sector fed hawkish on rates,News: Treasury trading volume light,Breaking: Energy sector misses revenue targets,Breaking: Banking sector plunges on weak earnings,News: Treasury to announce results,Breaking: Energy sector misses revenue targets
2016-01-25,0,News: Fed markets await data,Breaking: Retail sector sell-off accelerates,Breaking: Retail sector fed hawkish on rates,News: SEC markets await data,News: SEC to announce results,Breaking: Energy sector fed hawkish on rates,News: Treasury keeps rates unchanged,Breaking: Retail sector faces regulatory probe,Breaking: Tech sector fed hawkish on rates,Breaking: Tech sector fed hawkish on rates,Breaking: Retail sector inflation accelerates,Breaking: Energy sector misses revenue targets,News: SEC trading volume light,News: ECB markets await data,Breaking: Banking sector fed hawkish on rates,News: SEC keeps rates unchanged,Breaking: Tech sector downgrades guidance,Breaking: Banking sector sell-off accelerates,Breaking: Retail sector downgrades guidance,Breaking: Tech sector plunges on weak earnings,News: Treasury trading volume light,Breaking: Banking sector plunges on weak earnings,News: Fed markets await data,Breaking: Banking sector plunges on weak earnings,Breaking: Banking sector downgrades guidance
2016-01-26,1,News: SEC releases meeting minutes,News: Fed keeps rates unchanged,News: SEC markets await data,News: ECB sector rotation observed,News: Fed sector rotation observed,News: Fed trading volume light,News: ECB to announce results,News: Fed sector rotation observed,News: SEC sector rotation observed,News: Treasury trading volume light,News: ECB releases meeting minutes,News: Fed trading volume light,News: Fed releases meeting minutes,News: Fed markets await data,News: SEC markets await data,News: ECB releases meeting minutes,News: SEC keeps rates unchanged,News: ECB releases meeting minutes,News: SEC sector rotation observed,News: ECB markets await data,News: SEC sector rotation observed,News: Fed to announce results,News: Treasury to announce results,News: ECB to announce results,News: Treasury sector rotation observed
2016-01-27,0,News: Fed trading volume light,News: SEC to announce results,News: Treasury sector rotation observed,News: Treasury to announce results,News: Fed markets await data,News: Fed sector rotation observed,Breaking: Tech sector inflation accelerates,Breaking: Energy sector jobless claims rise,Breaking: Retail sector misses revenue targets,Breaking: Tech sector faces regulatory probe,Breaking: Banking sector misses revenue targets,News: SEC trading volume light,Breaking: Banking sector misses revenue targets,Breaking: Retail sector fed hawkish on rates,News: ECB to announce results,Breaking: Energy sector inflation accelerates,News: Fed to announce results,Breaking: Tech sector sell-off accelerates,Breaking: Banking sector consumer spending slows,Breaking: Tech sector faces regulatory probe,News: Fed keeps rates unchanged,News: SEC keeps rates unchanged,Breaking: Energy sector downgrades guidance,Breaking: Energy sector downgrades guidance,News: ECB markets await data
2016-01-28,1,News: Treasury trading volume light,News: Treasury releases meeting minutes,News: Fed sector rotation observed,News: Treasury keeps rates unchanged,News: SEC markets await data,News: Fed sector rotation observed,News: Fed sector rotation observed,News: Fed sector rotation observed,News: SEC sector rotation observed,News: Fed releases meeting minutes,News: Fed to announce results,News: SEC to announce results,News: ECB trading volume light,News: Fed markets await data,News: ECB sector rotation observed,News: SEC releases meeting minutes,News: ECB trading volume light,News: Fed sector rotation observed,News: Fed releases meeting minutes,News: Fed markets await data,News: Treasury to announce results,News: ECB releases meeting minutes,News: SEC releases meeting minutes,News: SEC markets await data,News: Treasury to announce results
2016-01-29,1,News: Treasury to announce results,News: Fed markets await data,Market Update: Tech stock secures major contract,Market Update: Banking stock tech sector leads rally,Market Update: Banking stock secures major contract,Market Update: Tech stock consumer confidence spikes,News: Fed trading volume light,Market Update: Tech stock inflation data comes in lower,News: ECB releases meeting minutes,Market Update: Banking stock upgrades outlook,Market Update: Tech stock fed signals rate cuts,Market Update: Retail stock inflation data comes in lower,Market Update: Energy stock tech sector leads rally,Market Update: Energy stock secures major contract,Market Update: Banking stock tech sector leads rally,Market Update: Tech stock inflation data comes in lower,Market Update: Energy stock beats earnings estimates,Market Update: Retail stock beats earnings estimates,Market Update: Banking stock tech sector leads rally,Market Update: Tech stock consumer confidence spikes,News: Treasury to announce results,News: SEC trading volume light,Market Update: Banking stock surges to record highs,Market Update: Tech stock beats earnings estimates,News: Fed releases meeting minutes
2016-01-30,0,News: SEC to announce results,News: SEC trading volume light,Market Update: Energy stock secures major contract,News: ECB markets await data,News: SEC to announce results,Market Update: Banking stock tech sector leads rally,Market Update: Retail stock upgrades outlook,News: Fed releases meeting minutes,News: Treasury trading volume light,Market Update: Tech stock fed signals rate cuts,Market Update: Retail stock upgrades outlook,Market Update: Banking stock fed signals rate cuts,News: SEC trading volume light,Market Update: Tech stock upgrades outlook,Market Update: Energy stock beats earnings estimates,Market Update: Banking stock surges to record highs,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Tech stock unemployment falls unexpectedly,Market Update: Banking stock fed signals rate cuts,News: SEC sector rotation observed,Market Update: Energy stock upgrades outlook,Market Update: Energy stock beats earnings estimates,News: Fed trading volume light,Market Update: Retail stock upgrades outlook
2016-01-31,1,News: Fed releases meeting minutes,News: Fed to announce results,Market Update: Energy stock upgrades outlook,News: Treasury releases meeting minutes,Market Update: Tech stock unemployment falls unexpectedly,Market Update: Energy stock tech sector leads rally,Market Update: Banking stock inflation data comes in lower,Market Update: Tech stock secures major contract,Market Update: Energy stock secures major contract,Market Update: Tech stock secures major contract,News: Fed trading volume light,News: SEC markets await data,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Energy stock consumer confidence spikes,Market Update: Retail stock secures major contract,Market Update: Retail stock unemployment falls unexpectedly,News: Treasury to announce results,Market Update: Tech stock tech sector leads rally,Market Update: Energy stock consumer confidence spikes,Market Update: Banking stock upgrades outlook,Market Update: Banking stock surges to record highs,Market Update: Energy stock beats earnings estimates,Market Update: Energy stock surges to record highs,Market Update: Tech stock upgrades outlook,Market Update: Banking stock beats earnings estimates
2016-02-01,0,News: Fed releases meeting minutes,News: ECB keeps rates unchanged,News: Fed to announce results,News: SEC trading volume light,News: ECB keeps rates unchanged,News: Treasury to announce results,News: ECB to announce results,News: SEC keeps rates unchanged,News: Fed to announce results,News: ECB releases meeting minutes,News: Treasury sector rotation observed,News: ECB to announce results,News: Fed to announce results,News: SEC to announce results,News: Treasury markets await data,News: ECB to announce results,News: ECB releases meeting minutes,News: SEC sector rotation observed,News: ECB markets await data,News: ECB keeps rates unchanged,News: Treasury markets await data,News: ECB markets await data,News: Fed to announce results,News: ECB sector rotation observed,News: Fed markets await data
2016-02-02,0,Breaking: Banking sector consumer spending slows,Breaking: Retail sector consumer spending slows,News: ECB releases meeting minutes,Breaking: Tech sector plunges on weak earnings,Breaking: Tech sector faces regulatory probe,Breaking: Retail sector consumer spending slows,Breaking: Tech sector plunges on weak earnings,News: Treasury sector rotation observed,News: Treasury trading volume light,Breaking: Energy sector inflation accelerates,Breaking: Retail sector inflation accelerates,Breaking: Tech sector jobless claims rise,Breaking: Banking sector jobless claims rise,Breaking: Banking sector sell-off accelerates,Breaking: Retail sector consumer spending slows,Breaking: Banking sector consumer spending slows,Breaking: Tech sector faces regulatory probe,Breaking: Tech sector plunges on weak earnings,Breaking: Banking sector sell-off accelerates,Breaking: Energy sector downgrades guidance,Breaking: Banking sector downgrades guidance,News: SEC markets await data,News: Fed releases meeting minutes,Breaking: Tech sector plunges on weak earnings,News: Treasury trading volume light
